id	name	type	requirement	region_id	reward_zenny	reward_chip_ids	description	image_url
11	Shopping Spree	Obtain	MachGun1_A:1,Reflector3_E:1,FireHit1_F:1	central_area	3500		Miss Yai needs a MachGun1 (A), Reflector3 (E) & FireHit1 (F).	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Central+Area+6+Shopping+Spree.png
12	Grim Reaper Calls	Defeat	EraserMan:1	graveyard	4500	Lance	It's me Mr.Famous! be safe, the Grim Reaper is in the Graveyard.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Graveyard+1+Grim+Reaper+Calls.png
13	Haunted Candles	Defeat	HauntedCandle:5,HauntedCandle2:5,HauntedCandle3:5	graveyard	3000		Beat 5 HauntedCandle, 5 HauntedCandle2 & 5 HauntedCandle3.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Graveyard+2+Haunted+Candles.png
14	Black Dragon	Obtain	ElecDrgn_Z:1	graveyard	1500	Sword_STAR	The black dragon haunts. Return to me an ElecDrgn (Z).	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Graveyard+3+Black+Dragon.png
15	Regal's Eye	Defeat	JokerEye:10	graveyard	3000		My eye is watching. Defeat 10 of my JokerEye if you dare.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Graveyard+4+Regal's+Eye.png
16	NetDefender Test	Obtain	WoodDrgn_F:1,AquaDrgn_E:1,HeatDrgn_Y:1	graveyard	5000		NetDefender obtain a WoodDrgn (F). AquaDrgn (E) & HeatDrgn (Y).	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Graveyard+5+NetDefender+Test.png
17	Graveyard Call	Defeat	BigHat2:10,BigHat3:10	graveyard	3000		The Graveyard calls. Defeat 10 Bighat 2 & 10 Bighat3.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Graveyard+6+Graveyard+Call.png
18	Virus Hunt	Defeat	Mettaur:10	green_area	2000		Can someone please delete 10 pesky Mettaur in Green Area!	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Green+Area+1+Virus+Hunt.png
19	BC Lost	Obtain	IronShell1_J:1	green_area	2000		Help! I was ambushed in the Green Area and lost an IronShell1 (J).	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Green+Area+2+BC+Lost.png
20	Hunt BlastMan	Defeat	BlastMan:1	green_area	4500	M-Boomer	Defeat my old boss, he hides out at the ends of the Green Area!	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Green+Area+3+Hunt+BlastMan.png
21	Work Conditions	Defeat	BombCorn:10	green_area	2000		I can't work in these conditions. Delete 10 BombCorn for me!	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Green+Area+4+Work+Conditions.png
22	Collect It	Obtain	Reflector1_C:1	green_area	2000		All I need is a Reflector1 (C) to complete my collection.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Green+Area+5+Collector.png
23	Collect It Again	Obtain	CornSht1_K:1	green_area	2000		All I need is a Cornsht1 (K) to complete my collection.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Green+Area+6+Collector.png
24	Ambushed	Defeat	Chimpy:12	pavillion_comp	2500		I was ambushed by Chimpy. Delete 12 in Pavillion Comp for me!	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Pavillion+Comp+1+Ambushed.png
25	Lurking In The Depths	Defeat	DiveMan:1	pavillion_comp	4500		A submarine Navi lurks in Pavillion Comp! Please delete them.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Pavillion+Comp+2+Lurking+in+the+Depths.png
26	Sick Patient	Obtain	DolThdr1_A:1	pavillion_comp	2000		A patient of mine is sick and would love a Dolthdr1 (A).	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Pavillion+Comp+3+Sick+Patient.png
27	Swordsmanship	Obtain	LongSwrd_S:1	pavillion_comp	2000		Samurai are amazing. Can anyone please get me a LongSwrd (S).	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Pavillion+Comp+4+Swordsmanship.png
28	PTSD	Defeat	Sniper:2,Shooter:2	pavillion_comp	2000	AntiDmg	PTSD! Someone delete 2 Sniper & 2 Shooter in Pavillion Comp.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Pavillion+Comp+5+PTSD.png
29	Famous Curry	Obtain	FireBrn1_A:1,FireBrn1_B:1	pavillion_comp	3000		I need a FireBrn1 (A) & FireBrn1 (B) for my world famous curry.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Pavillion+Comp+6+Famous+Curry.png
30	Experiment Loose	Defeat	CanGrdEX:15,CanRaid:5	scilab_area	2000	BigBomb	Experiment got loose! Delete 15 CanGrdEX & 5 CanRaid for SciLab.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/SciLab+Area+1+Experiment+Loose.png
31	Lost Chip	Obtain	TimeBomb1_L:1	scilab_area	2000	HolyPnls	If you're in the SciLab Area, can you grab me a timeBomb1 (L).	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/SciLab+Area+2+Lost+Chip.png
32	Judgement	Defeat	JudgeMan:1	scilab_area	4500	Atk+30	SciLab's new Judge is mean. Can someone please defeat them.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/SciLab+Area+3+Judgement.png
33	Grab Me One	Obtain	HiCannon_M:1	scilab_area	2000	WidShot	This just in! HiCannon (M) is a must have. Pick one up for me?	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/SciLab+Area+4+Grab+Me+One.png
34	Fish That Bite	Defeat	Piranha:10,Piranha2:10	seaside_area	3000		These fish sure bite. Someone delete 10 Piranha & 10 Piranha2.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Seaside+Area+1+Fish+that+Bite.png
35	SearchMan Fails	Defeat	ElementMan:1	seaside_area	4500	Tornado	SearchMan couldn't do it, can you? Defeat the master of elements.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Seaside+Area+2+SearchMan+Failure.png
36	Sushi Yum	Obtain	BubStar1_L:1,TrnArrw1_F:1,AquaNdl1_B:1	seaside_area	3000	Recover150	Sushi...Yum! I need a BubStar1 (L), TrnArrw1 (F) & AquaNdl1 (B).	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Seaside+Area+3+Sushi+Yum.png
37	Chips For Sale	Zenny	zenny:5000	seaside_area	0	DblPoint	Looking to sell some of my son's Battlechips.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Seaside+Area+4+Chips+for+Sale.png
38	Swordsmanship Again	Obtain	AquaSwrd_Y:1	seaside_area	2000	WideBlde_B	Samurai are amazing. Can anyone please get me a AquaSwrd (Y).	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Seaside+Area+5+Swordsmanship.png
39	Swordsmanship Last Time	Obtain	FireSwrd_F:1	sky_area	2000	LongBlde_B	Samurai are amazing. Can anyone please get me a FireSwrd (F).	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Sky+Area+1+Swordsmanship.png
40	Drunken Request	Defeat	Puffy2:10,OldHeatr:10	sky_area	3000		Nasty fish fry. Someone delete 10 Puffy2 & 10 Oldheatr.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Sky+Area+2+Drunken+Requests.png
41	Higsby's Collection	Zenny	zenny:5000	sky_area	0	Thunder	I have a rare Battlechip for sale. 5,000 Zenny.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Sky+Area+3+Higsby's+Collection.png
42	Sick Patient	Obtain	DolThdr2_C:1	sky_area	2000		I have a patient who really wants a DolThdr2 (C).	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Sky+Area+4+Sick+Patient.png
43	Colonel's Calling	Defeat	Colonel:1	sky_area	4500	StepSwrd	theres a real intimidating Navi in Sky ARea, FIND HIM!	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Sky+Area+5+Colonel's+Calling.png
44	Master's Feeding	Defeat	Count:1	underground	4500	Anubis	Don't go into the Underground. My master the Count feeds there!	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Underground+1+Master's+Feeding.png
45	Aura Farm	Obtain	AquaAura_A:1	underground	2000		If you make it to the Underground please grab me a AquaAura (A).	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Underground+2+Aura+Farming.png
46	Aura Farming	Obtain	FireAura_J:1	underground	3000		If you make it to the Underground please grab me a FireAura (J).	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Underground+3+Aura+Farming.png
47	Aura Farming Again	Obtain	WoodAura_G:1	underground	4000		If you make it to the Underground please grab me a WoodAura (G).	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Underground+4+Aura+Farming.png
48	Killer Eyes	Defeat	KillerEye:15	underground	3000		Fight your way through 15 KillerEye in the Underground.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Underground+5+KillerEye.png
49	A Challenger Approaches	Defeat	Bass:1	undernet	6000		Finally a challenger approaches. Find me and settle this!	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Undernet+1+Bass's+Challenge.png
50	Consume	Obtain	CornSht3_P:1,CornSht3_Q:1,CornSht3_R:1	undernet	4500		I must consume! Bring me a Cornsht3 (P), Cornsht3 (Q), Cornsht3 (R).	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Undernet+2+JunkMan+Consumes.png
51	Kendo's Challenge	Defeat	Hando:1,ErthDrgn:1,MegaCorn:1	undernet	3000		Here's my challenge. Defeat 1 hando, 1 ErthDrgn & 1 MegaCorn.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Undernet+3+Kendo's+Challenge.png
52	Spicy Chicken	Obtain	LavaSeed_E:1	undernet	3000		I need a LavaSeed (E) from an ErthDrgn in the UnderNet.	https://mmntwtcgcustomcards.s3.us-west-1.amazonaws.com/netbattlers/Missions/Undernet+4+Django+LavaSeed.png
